Chandra Inn,"Panch Batti Circle, Airport Road, Ratanada, Jodhpur","0291-2670610, 0291-5103791,02912670583","Deluxe Room: Double-Rs 2500+tax(including breakfast)
Super Deluxe Room: Double-Rs 2800+tax  (including breakfast)",2500-2800
Hotel Priya,"181-182, Nai Sarak, Jodhpur
","0291-2547463, 0291-2547879, 09414475439
","Super Deluxe (Ac) Big: Single-Rs.1100, Double-Rs.1200, Extra person- Rs.200
Super Deluxe (Ac) Small: Single-Rs.1000, Double-Rs.1100, Extra person- Rs.200
",1000-1200
Hotel Suncity International,"Near Panch Batti Circle, Airport Road, Jodhpur",9636033999,"single - Rs 1800+tax , Rs 700/extra person
double - Rs 2100+ tax ,Rs 700/extra person",1800-2100
"Youth Hostel
","Bhati Chauraha, Ratanada, Jodhpur","0291-2517160
","Dormitory: Rs.135/person (general), Rs.85/person (student Id)
Non Ac Room (Twin Bed): Rs.500
Ac Room (Twin Bed): Rs.750
",500-750
"Rajputana Palace
","Near Panch Batti Circle, Airport Road, Jodhpur",91 291 5153600,"Deluxe Room: Single-Rs 2500 Double-Rs2800
Super Deluxe Room: Single/Double-Rs 3500 ",2500-3500
Hotel Galaxy,"Nai Sarak Chouraha, Outside Sojati Gate, Jodhpur","0291-2625098
","AC Room: Rs 1200 (Double) , Rs 1500(triple),Rs 200 per extra person
Non AC Room: Rs800 (Double), Rs 1000(triple) Rs 200 per extra person
",800-1200
Hotel Soner,"5,Nai sarak , Jodhpur","0291-2626732 , 9828508080","single bed-Rs 400 & Rs 500  , Rs 200/extra person
Double bed- Rs 600  , Rs 200/extra person
Triple bed - Rs 900  , Rs 200/extra person
Ac Double bed - Rs 950 , Rs 200/extra person",400-950
Baba Haveli ,"Near Clock Tower Solanki Dairy, Ummed Chowk, Jodhpur", 088903 66857,"Double bed- Rs 600(Non AC), Rs 850(AC)
Triple bed - Rs 900 (AC)",600-900
Hotel Raman Palace,"Opposite Kesar Bagh, Shiv Mandir Rd, Ratanada, Jodhpur",0291 251 3980,"Econmic Double bed-Rs 800 (Air cooler)
Standard Double bed- Rs 1200  (Air cooler) 
Deluxe Double bed - Rs 1500/1800(AC)
",800-1800
Hotel Jasol Heritage,"Jasol House, Police Line Rd, Ratanada, Jodhpur",0291-2513036,"Standard Double bed-1200+tax(AC)
Deluxe Double bed - Rs 1600+tax (AC)",1200-1600
Chandra Grand,"E6A, MANDORE INDUSTRIAL AREA, 9 MILE, MANDORE, Jodhpur",073400 64989,"Deluxe Room: Single-Rs 2200(+tax) Double-Rs2700(+tax)
Super Deluxe Room: Single-2500(+tax)/Double-Rs 3000(+tax) ",2200-3000
Govindam Family Restaurant & Guest House,"Stone Park Ke Pass, 9  Nagour Road, N.H. 65, Rajasthan 342304 under 8 km from karwar
",7790966203,"double - Rs 1000 (AC)(+10% discount) 
double - Rs 500 (Fan)(+10% discount)",500-1000
Haveli Resort & Hatai Restaurant,"Daijar, Rajasthan 342301",9829650500,double bed - Rs 1500 (AC),1500
Laxmi Guest House,"NH 65 bang opposite NLU, Jodhpur",085609 80450,Double bed room-Rs 1000(AC)(+20% discount),1000
Hotel Red Oak,"Near Over Bridge, Mandore, Jodhpur, Jodhpur, Rajasthan 342304",9414410691,double bed -Rs 1200 (AC); Rs 800 (non AC); Rs 200/extra person,800-1200
Baba Ramdev Guest House,"Near Mandore Overbridge, Mandore, Jodhpur, Rajasthan 342304

",9784274020,"double bed- Rs 450(air cooler), Rs 900(AC), Rs 100/extra person",450-900
Mandore Guest House,"Dadawari Lane Near, Mandore Rd, Mandore, Jodhpur",0291 254 5210,Double bed room-Rs 2250(AC),2250
